iter	Logloss
0	0.6395119602
1	0.5970200372
2	0.5712042886
3	0.5456037228
4	0.5304978352
5	0.512220783
6	0.4948836483
7	0.4816697794
8	0.4699004699
9	0.4584343158
10	0.4538704925
11	0.4450971055
12	0.4402647091
13	0.4329540448
14	0.4285928322
15	0.4229825145
16	0.4191027902
17	0.4166348558
18	0.4136942281
19	0.4110344341
20	0.4073920669
21	0.4033538912
22	0.4011708551
23	0.3991533511
24	0.3968877953
25	0.3946110976
26	0.3921689545
27	0.3903036922
28	0.389450603
29	0.3881662146
30	0.3865290367
31	0.3836308155
32	0.382185478
33	0.3806888466
34	0.3798620785
35	0.3788181384
36	0.3774955828
37	0.3765546904
38	0.3745713946
39	0.3739992236
40	0.3728057711
41	0.3712717421
42	0.3703146061
43	0.3698784778
44	0.3691665999
45	0.3685646302
46	0.3676025785
47	0.3659402903
48	0.3650075131
49	0.3642111788
50	0.3634639988
51	0.3631621511
52	0.3624884787
53	0.3613711757
54	0.3608691243
55	0.3594078485
56	0.3584251562
57	0.3573250959
58	0.3571184692
59	0.3560539837
60	0.3551576648
61	0.3541338906
62	0.3536064143
63	0.3521007094
64	0.3512502138
65	0.3496087686
66	0.3489862128
67	0.3480706775
68	0.3468128612
69	0.3459140185
70	0.3456971559
71	0.3447437161
72	0.3434143138
73	0.3431902184
74	0.3426095311
75	0.3416916988
76	0.3414657645
77	0.3396693611
78	0.3394670206
79	0.3382211595
80	0.3370472448
81	0.3368967201
82	0.3357060325
83	0.3354287218
84	0.3350866257
85	0.3349637714
86	0.3348426793
87	0.3335695968
88	0.3331394101
89	0.3326673433
90	0.3325594735
91	0.3324698947
92	0.3317778211
93	0.3304432949
94	0.3300331128
95	0.3291862481
96	0.3275985404
97	0.3257716137
98	0.3248111243
99	0.3244425766
100	0.3239738914
101	0.3236058376
102	0.3222197461
103	0.3210766929
104	0.3196979598
105	0.319181245
106	0.3180266302
107	0.317101708
108	0.3162798611
109	0.315383385
110	0.3147057186
111	0.3131883122
112	0.3119473534
113	0.3104564
114	0.3093564799
115	0.3078599657
116	0.3070525719
117	0.3063664779
118	0.3059094315
119	0.3056875568
120	0.3047457965
121	0.3036157896
122	0.3025591602
123	0.3020714777
124	0.3012576716
125	0.3011447347
126	0.3003109791
127	0.3002361609
128	0.2989521568
129	0.2987807475
130	0.2978827983
131	0.2967039159
132	0.2962650619
133	0.2956020006
134	0.2943423571
135	0.2932395157
136	0.2927148773
137	0.2922597316
138	0.2920104726
139	0.2912787777
140	0.29121905
141	0.2900788624
142	0.2890310072
143	0.2887362395
144	0.2882038977
145	0.2873789609
146	0.2868480848
147	0.2862099333
148	0.2854152209
149	0.2853496554
150	0.2842971802
151	0.2834143943
152	0.2833206718
153	0.2825965542
154	0.2821830397
155	0.2819771772
156	0.2809308202
157	0.2803175959
158	0.2792059656
159	0.2783043726
160	0.278248258
161	0.2779103833
162	0.277845814
163	0.2768299497
164	0.2757262896
165	0.2751211589
166	0.2748726283
167	0.2736161825
168	0.2735058574
169	0.2728446669
170	0.2723110211
171	0.2716204039
172	0.2711701058
173	0.2710545952
174	0.2706046774
175	0.2704970931
176	0.2699154833
177	0.2692764776
178	0.2683300834
179	0.2677594355
180	0.2676487268
181	0.2662488762
182	0.2654504677
183	0.2653601304
184	0.2646014334
185	0.264294813
186	0.2634857072
187	0.2632425647
188	0.2628891495
189	0.2625090706
190	0.2620028276
191	0.2616109274
192	0.2606959451
193	0.2598123038
194	0.2594127936
195	0.2587629094
196	0.2584440516
197	0.2580647853
198	0.2570724249
199	0.2567259392
