iter	Logloss
0	0.6879987633
1	0.682717859
2	0.6774437576
3	0.671936206
4	0.6669031069
5	0.6620938939
6	0.6580248034
7	0.6552885083
8	0.6517545053
9	0.6463200971
10	0.6414686384
11	0.6371861152
12	0.6319032028
13	0.6282514137
14	0.6239327994
15	0.619307429
16	0.6146705666
17	0.6104556144
18	0.6064306166
19	0.6030882578
20	0.5983938244
21	0.5942356555
22	0.5906852344
23	0.587201723
24	0.5833618788
25	0.5805844929
26	0.5779932704
27	0.5750479874
28	0.5715198623
29	0.5679559346
30	0.5649042557
31	0.5617116425
32	0.5580857051
33	0.5545728298
34	0.5516660303
35	0.5486769813
36	0.5453720899
37	0.5420187006
38	0.5396946073
39	0.5367679666
40	0.5335592526
41	0.5306770931
42	0.527937708
43	0.5250191567
44	0.522840256
45	0.5209168692
46	0.5192043891
47	0.5180017011
48	0.5159528501
49	0.5135746656
50	0.5109975449
51	0.5085961767
52	0.5056123005
53	0.5039320148
54	0.5024866985
55	0.5007093453
56	0.4995686011
57	0.4974519799
58	0.4952393665
59	0.4934953238
60	0.4920314443
61	0.490604154
62	0.4886041037
63	0.4868871041
64	0.4855805522
65	0.4833519809
66	0.482096527
67	0.4807068447
68	0.4784819398
69	0.4766759937
70	0.4755587359
71	0.4739651475
72	0.4726598668
73	0.4706572695
74	0.4691684271
75	0.4674002893
76	0.4658619191
77	0.463771252
78	0.4622605294
79	0.461091859
80	0.4598851687
81	0.4583221241
82	0.4565010578
83	0.4549572165
84	0.453478861
85	0.4517373155
86	0.450794867
87	0.4497493098
88	0.4481054557
89	0.4471439814
90	0.4456114742
91	0.4441965669
92	0.4425341157
93	0.4418308764
94	0.440773619
95	0.4399949067
96	0.4392170105
97	0.4381004468
98	0.4373102705
99	0.4359246437
100	0.4348116427
101	0.4335850397
102	0.4319476938
103	0.4306862241
104	0.4297102471
105	0.4288337957
106	0.4279330528
107	0.4271863727
108	0.4259562453
109	0.4246324061
110	0.4239027261
111	0.4228965669
112	0.4222310495
113	0.4213211583
114	0.4209691633
115	0.4196067132
116	0.4185104591
117	0.4176181726
118	0.416257612
119	0.4156943348
120	0.414607384
121	0.4136402095
122	0.4126573613
123	0.4121594412
124	0.410983925
125	0.4098584532
126	0.4090510584
127	0.4084797344
128	0.4078973798
129	0.4071006955
130	0.4062928793
131	0.4057562312
132	0.4051779088
133	0.4045455789
134	0.4039207894
135	0.4029993116
136	0.4025810804
137	0.4023322091
138	0.4015272516
139	0.4012969589
140	0.400487515
141	0.3999233672
142	0.3994579001
143	0.3986817694
144	0.3980003521
145	0.3974911573
146	0.3969802638
147	0.3965198296
148	0.3955538839
149	0.3950676437
150	0.394421137
151	0.393917867
152	0.3931792342
153	0.3923923782
154	0.3917759377
155	0.3912234494
156	0.3904610196
157	0.3898033741
158	0.3891884087
159	0.3886690521
160	0.3880005619
161	0.3875211202
162	0.3870016634
163	0.3864543218
164	0.3859471257
165	0.385372286
166	0.3850791883
167	0.3846324294
168	0.3841355438
169	0.383807257
170	0.3831866097
171	0.3825969037
172	0.3825669829
173	0.3821311772
174	0.3819618854
175	0.3814519786
176	0.3810145076
177	0.3805873705
178	0.380068913
179	0.3800170771
180	0.3796495699
181	0.379314627
182	0.3789937278
183	0.3787028921
184	0.3782174394
185	0.3775825502
186	0.3771615338
187	0.3767908939
188	0.3763087212
189	0.3757584647
190	0.3755195285
191	0.3751845848
192	0.3746284259
193	0.3742181009
194	0.3741345122
195	0.3737419246
196	0.3732679368
197	0.3726416296
198	0.372173656
199	0.371769196
200	0.371317309
201	0.3707477606
202	0.3704705874
203	0.3700409904
204	0.3697575965
205	0.3694720734
206	0.3691044018
207	0.3687965865
208	0.3686228461
209	0.3679607066
210	0.3674419707
211	0.3670514756
212	0.3668881056
213	0.3666945325
214	0.3663256434
215	0.3658665746
216	0.3652643615
217	0.3649679873
218	0.3646999498
219	0.3643700089
220	0.3638388438
221	0.3634993678
222	0.3630965777
223	0.3623951852
224	0.3620917888
225	0.3619751833
226	0.361577493
227	0.3611551425
228	0.3607958334
229	0.3605945376
230	0.3603643397
231	0.3598567537
232	0.359656237
233	0.3593703981
234	0.3588755981
235	0.358778636
236	0.3582259721
237	0.3577841875
238	0.3574337597
239	0.357075392
240	0.3568618984
241	0.3567232481
242	0.3562399976
243	0.3556893024
244	0.3553398465
245	0.3550309225
246	0.3547851523
247	0.3544717206
248	0.3541857385
249	0.3537378237
250	0.3534423057
251	0.3533666055
252	0.3530556081
253	0.353041263
254	0.3530174921
255	0.352629724
256	0.3523273442
257	0.352111856
258	0.3517785993
259	0.3513829633
260	0.3510517022
261	0.3508356025
262	0.3507391986
263	0.3505883713
264	0.3503608412
265	0.3502434108
266	0.3498974995
267	0.3496810973
268	0.3494489736
269	0.349122444
270	0.3488662131
271	0.3486294212
272	0.3482989929
273	0.3480872922
274	0.347852461
275	0.3477801422
276	0.3476191324
277	0.3473728367
278	0.3472122321
279	0.3469778692
280	0.3468202222
281	0.3464169252
282	0.3462508569
283	0.3460118229
284	0.34571841
285	0.3455417358
286	0.3453226576
287	0.3450423073
288	0.3447701458
289	0.3446421025
290	0.3445971316
291	0.3444004609
292	0.344209835
293	0.3439191725
294	0.3436628055
295	0.3435023209
296	0.3433209528
297	0.3432082238
298	0.3430795127
299	0.3429427849
300	0.3425838177
301	0.3424525374
302	0.3422148001
303	0.3420702686
304	0.3418268721
305	0.3415969884
306	0.341440803
307	0.3411086843
308	0.34083452
309	0.3406282552
310	0.3403956517
311	0.3401863769
312	0.3399434292
313	0.3398522472
314	0.3396300819
315	0.3394046294
316	0.3391320442
317	0.3388093148
318	0.3384878318
319	0.338328361
320	0.3382074756
321	0.3378533131
322	0.3376681747
323	0.3372993116
324	0.3371118053
325	0.3369869585
326	0.3367976495
327	0.3366018568
328	0.3362688077
329	0.3359114419
330	0.3355792162
331	0.3354398582
332	0.3351434882
333	0.3349626743
334	0.3348526068
335	0.3347319936
336	0.3346051727
337	0.3342974849
338	0.3342329925
339	0.3339083461
340	0.3335487745
341	0.3332466241
342	0.333156943
343	0.3330006355
344	0.3328500805
345	0.3325883619
346	0.3325018974
347	0.3323723581
348	0.332144829
349	0.3320136986
350	0.3319768899
351	0.3317911652
352	0.3314716158
353	0.3312353143
354	0.3311864693
355	0.3310581113
356	0.3308386274
357	0.3306225959
358	0.3304218773
359	0.3303039449
360	0.3301938297
361	0.3298746294
362	0.3296990239
363	0.3295308567
364	0.3293825954
365	0.3292761329
366	0.3292030186
367	0.3289254491
368	0.328856081
369	0.3286310938
370	0.3284595202
371	0.3283152517
372	0.3280866588
373	0.3278019392
374	0.3275973924
375	0.3274221507
376	0.3273239195
377	0.327139754
378	0.3269672437
379	0.3269482501
380	0.3268472113
381	0.3267716544
382	0.3266613016
383	0.3266119226
384	0.3265154965
385	0.3262980926
386	0.3261123335
387	0.325953403
388	0.3258345275
389	0.3256919982
390	0.3255655802
391	0.3253954149
392	0.3251305784
393	0.3249312157
394	0.3247322703
395	0.3245490191
396	0.3244657901
397	0.3242452847
398	0.3242168134
399	0.3239609705
400	0.3238870181
401	0.323762161
402	0.3237129684
403	0.3236598094
404	0.323587993
405	0.3234455228
406	0.3233455968
407	0.323170149
408	0.3231525278
409	0.3229745458
410	0.3228083886
411	0.3225764927
412	0.3223806538
413	0.3222737026
414	0.3220786444
415	0.3218637559
416	0.3216745841
417	0.3214920682
418	0.3213116875
419	0.3212305793
420	0.3211638023
421	0.3209691124
422	0.3209538312
423	0.3206773123
424	0.3205051823
425	0.3204218605
426	0.3203638088
427	0.3202551517
428	0.3201671166
429	0.3199571786
430	0.3197146521
431	0.3193936235
432	0.3192501026
433	0.3191121388
434	0.3188740963
435	0.3187586994
436	0.3187513645
437	0.3185819932
438	0.3185245177
439	0.3183407322
440	0.3181941499
441	0.3181044216
442	0.317981417
443	0.317839473
444	0.3177446206
445	0.317536354
446	0.3174998202
447	0.3173842399
448	0.317191725
449	0.3169532506
450	0.3168648345
451	0.3167801991
452	0.3166043521
453	0.3164166294
454	0.3161968706
455	0.3160155373
456	0.3157989941
457	0.31559842
458	0.3154618269
459	0.3153281155
460	0.3152220674
461	0.3151886811
462	0.3150947517
463	0.314870492
464	0.3148127071
465	0.3147124547
466	0.3146421039
467	0.3143757849
468	0.3142507748
469	0.314080551
470	0.3138725652
471	0.3137740185
472	0.3136317974
473	0.3134720222
474	0.3132831657
475	0.3131215149
476	0.3131067334
477	0.3130150591
478	0.3129688154
479	0.3127906086
480	0.3125228713
481	0.3123488888
482	0.3122572533
483	0.3120271555
484	0.312005517
485	0.3117968526
486	0.3117490358
487	0.3116466793
488	0.3115961534
489	0.3113160001
490	0.3112436144
491	0.3110878843
492	0.3109194147
493	0.3108294275
494	0.3107348334
495	0.310688505
496	0.3106002022
497	0.310507665
498	0.3103724589
499	0.3102828759
500	0.3101437569
501	0.3099362166
502	0.3098689044
503	0.3096773845
504	0.3095896949
505	0.3094900157
506	0.3093652573
507	0.3093635852
508	0.3092813448
509	0.3092166796
510	0.3091117827
511	0.3090476957
512	0.3088770805
513	0.3086379196
514	0.3084772143
515	0.3084049228
516	0.3082780498
517	0.3081733895
518	0.3079868562
519	0.3079708303
520	0.3079056038
521	0.307835494
522	0.3076982754
523	0.3076102943
524	0.3075321151
525	0.3074566488
526	0.3072400968
527	0.3071958109
528	0.3070709512
529	0.3068882869
530	0.3068300906
531	0.3067072993
532	0.3065032848
533	0.3064065034
534	0.3062298367
535	0.306139488
536	0.3059716976
537	0.3058787205
538	0.3057737782
539	0.3056823289
540	0.3056124887
541	0.3055164563
542	0.3053303084
543	0.3053020053
544	0.3051232267
545	0.3050134006
546	0.304902821
547	0.3048431099
548	0.3047771742
549	0.3046827805
550	0.3046182192
551	0.3045987026
552	0.304407069
553	0.3042581968
554	0.3041441283
555	0.3040984102
556	0.3039503742
557	0.3038846819
558	0.3037907721
559	0.3036847222
560	0.3035675937
561	0.3034013988
562	0.3033197401
563	0.303283229
564	0.3032348368
565	0.3031222155
566	0.3029560267
567	0.3028772792
568	0.3027630682
569	0.3026537803
570	0.3025768141
571	0.3025747383
572	0.3025014344
573	0.3023189313
574	0.3022162127
575	0.3020275887
576	0.3020115644
577	0.3018968284
578	0.3017721183
579	0.3017091971
580	0.3016697969
581	0.3015500725
582	0.3013737235
583	0.3012268468
584	0.3011255033
